date,open,high,low,close,volume
2007-06-29,3.4432,3.4512,3.3993,3.4123,106332000
2007-07-02,3.4322,3.4771,3.4018,3.4721,98122000
2007-07-03,3.4936,3.4941,3.4427,3.4642,44470000
2007-07-05,3.4597,3.4741,3.3948,3.4282,89758000
2007-07-06,3.4292,3.4567,3.3923,3.4402,92306000
2007-07-09,3.4607,3.6088,3.4427,3.5948,296338000
2007-07-10,3.5739,3.5884,3.4951,3.5056,177708000
2007-07-11,3.5205,3.5739,3.4991,3.528,131872000
2007-07-12,3.5569,3.6697,3.528,3.6308,229032000
2007-07-13,3.6452,3.7584,3.6397,3.746,250040000
2007-07-16,3.7275,3.733,3.6412,3.6756,166698000
2007-07-17,3.7106,3.717,3.6707,3.6806,121688000
2007-07-18,3.6547,3.6657,3.6038,3.6572,125794000
2007-07-19,3.7031,3.7071,3.6472,3.6587,105470000
2007-07-20,3.6223,3.6392,3.5165,3.5729,182614000
2007-07-23,3.5804,3.6248,3.534,3.5784,185356000
2007-07-24,3.5435,3.5993,3.4342,3.4542,506846000
2007-07-25,4.2223,4.4293,4.1725,4.2986,1209048000
2007-07-26,4.2408,4.4393,4.1615,4.1904,465342000
2007-07-27,4.2034,4.2562,4.1141,4.1919,278852000
2007-07-30,4.14,4.1924,4.0657,4.1251,257112000
2007-07-31,4.1749,4.1764,3.8906,3.9176,282090000
2007-08-01,3.8956,3.8981,3.744,3.8562,338360000
2007-08-02,3.8836,3.9784,3.7969,3.9759,207232000
2007-08-03,3.9674,4.0278,3.8263,3.8308,159750000
2007-08-06,3.8437,3.9405,3.8208,3.9405,180058000
2007-08-07,3.9181,3.9904,3.8851,3.9475,161186000
2007-08-08,3.9789,3.9844,3.8188,3.8797,164896000
2007-08-09,3.8108,3.8537,3.6966,3.6966,166968000
2007-08-10,3.6487,3.8158,3.6098,3.73,181352000
2007-08-13,3.7954,3.8068,3.726,3.7345,121372000
2007-08-14,3.7305,3.7305,3.6372,3.6637,118924000
2007-08-15,3.6397,3.7485,3.6043,3.6103,127518000
2007-08-16,3.5914,3.6532,3.4941,3.6308,215746000
2007-08-17,3.7156,3.743,3.6467,3.742,144812000
2007-08-20,3.74,3.755,3.6811,3.726,118322000
2007-08-21,3.7016,3.8821,3.6956,3.8652,168582000
2007-08-22,3.9026,3.965,3.8826,3.9156,136962000
2007-08-23,3.9375,3.9405,3.8163,3.8557,113300000
2007-08-24,3.8308,3.9605,3.8253,3.953,113314000
2007-08-27,4.0183,4.0303,3.9116,3.9231,139026000
2007-08-28,3.8836,3.9231,3.7949,3.8018,115340000
2007-08-29,3.8388,3.943,3.8338,3.943,101536000
2007-08-30,3.9106,3.9959,3.9056,3.9245,92576000
2007-08-31,3.9904,4.0168,3.9754,3.9859,123148000
2007-09-04,3.9854,4.1665,3.9769,4.1251,165320000
2007-09-05,4.1021,4.2343,4.1011,4.1774,181244000
2007-09-06,4.2148,4.3126,4.1325,4.3001,176538000
2007-09-07,4.2248,4.2383,4.1505,4.2158,164624000
2007-09-10,4.2363,4.2478,4.1156,4.157,107338000
2007-09-11,4.1984,4.3201,4.1665,4.3036,137196000
2007-09-12,4.2932,4.4338,4.2882,4.3545,180606000
2007-09-13,4.3869,4.3929,4.3146,4.3525,119670000
2007-09-14,4.3101,4.3939,4.3051,4.378,79094000
