date,open,high,low,close,volume
2008-07-02,5.2732,5.3455,5.0662,5.0662,837519200
2008-07-03,5.1087,5.1864,4.993,5.1247,523362000
2008-07-07,5.2114,5.3358,5.1783,5.2765,820391600
2008-07-08,5.2837,5.4133,5.2036,5.4087,888350400
2008-07-09,5.4298,5.4497,5.2458,5.2491,895776000
2008-07-10,5.269,5.3422,5.1623,5.3208,840688800
2008-07-11,5.2828,5.3352,5.1512,5.1988,930011600
2008-07-14,5.2828,5.4012,5.2138,5.2379,886054400
2008-07-15,5.1904,5.2337,5.0123,5.1102,1040043200
2008-07-16,5.1235,5.2093,5.0789,5.2057,747790400
2008-07-17,5.2443,5.2711,5.1629,5.1756,757526000
2008-07-18,5.0671,5.1105,4.9704,4.975,868414400
2008-07-21,5.0277,5.0458,4.8536,5.0093,1360469600
2008-07-22,4.4855,4.903,4.4141,4.8807,1879592400
2008-07-23,4.975,5.072,4.8668,5.0084,1061768400
